,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Accession_number,TANS760101,TANS760102,BRYS930101,THOP960101,MIRL960101,VENM980101,BASU010101,MIYS850102,MIYS850103,MIYS960101,MIYS960102,MIYS960103,MIYS990106,MIYS990107,LIWA970101,KESO980101,KESO980102,MOOG990101,BETM990101,TOBD000101,TOBD000102,KOLA930101,SKOJ970101,SKOJ000101,SKOJ000102,BONM030101,BONM030102,BONM030103,BONM030104,BONM030105,BONM030106,MICC010101,SIMK990101,SIMK990102,SIMK990103,SIMK990104,SIMK990105,ZHAC000101,ZHAC000104,ZHAC000106
AA,-2.6,36,0.230,-0.08,-0.13,-0.02808,-0.0479,-2.51,-0.13,-2.72,-0.13,11789,-0.12,-0.08,-3.28,-3.51,-0.38,-0.48,-0.20,-0.17,-0.15,-0.1,0.8,1.0,0.8,-0.1,0.1,-0.1,4.7,4.7,4.8,0.001461,-0.13571,-0.02226,-0.06711,-0.01427,-0.00347,-1.65,-2.52,0.12
AR,-3.4,20,0.237,0.07,0.43,0.01438,0.1049,-1.50,0.44,-1.83,0.30,5205,0.24,0.18,-2.56,-3.26,0.16,-0.20,0.27,0.03,-0.16,0.5,0.6,0.4,0.3,0.6,0.5,0.3,5.5,5.5,5.5,-0.002511,0.37121,0.09517,0.06154,0.00319,0.00335,0.02,-1.24,0.56
RR,-4.3,14,-0.145,0.23,0.11,0.0543,0.0306,-1.39,0.11,-1.55,0.12,1558,0.19,0.03,-2.03,-3.98,-0.26,-0.11,0.13,1.01,0.65,0.2,-0.1,-0.1,-0.3,0.4,-0.2,-0.8,6.5,6.6,6.7,0.009875,0.23245,0.07551,-0.08474,-0.07401,-0.00407,1.08,0.03,1.18
AN,-3.1,39,0.159,-0.14,0.28,0.09084,0.1049,-1.44,0.28,-1.84,0.10,6465,0.15,0.07,-2.59,-2.06,0.31,-0.21,0.24,0.33,1.01,0.1,0.9,0.8,0.7,0.7,0.4,0.1,5.0,5.2,4.9,0.003323,0.25935,0.02956,0.09263,0.03854,0.00391,-0.25,-1.22,0.59
RN,-4.1,34,-0.303,0.04,-0.14,-0.0321,-0.0150,-1.41,-0.13,-1.64,-0.16,3325,0.10,-0.08,-2.19,-2.67,-0.02,0.24,0.02,0.82,0.14,0.0,0.0,0.0,-0.2,0.1,-0.3,-0.8,5.5,6.1,6.0,-0.006728,-0.27050,-0.20477,-0.15773,-0.05011,-0.00739,0.25,-0.80,0.83
NN,-3.2,22,-0.206,-0.86,-0.53,-0.07726,-0.0917,-1.59,-0.53,-1.68,-0.39,2605,-0.06,-0.26,-2.24,-1.99,-0.40,-0.18,-0.04,-0.68,-0.45,-0.4,0.1,0.1,-0.2,0.6,0.1,-0.6,5.4,5.6,6.1,-0.001962,-0.61455,-0.43720,-0.17967,-0.03011,-0.01002,0.14,-0.48,0.83
AD,-2.8,36,0.140,0.10,0.12,0.01673,0.1018,-1.57,0.12,-1.70,0.16,7836,0.27,0.10,-2.52,-2.74,0.02,-0.39,0.30,0.58,0.62,0.1,1.2,1.1,0.9,1.0,0.6,0.1,4.9,5.0,5.0,-0.001348,0.33397,0.13313,0.08686,0.03348,0.00414,-0.06,-1.22,0.65
RD,-3.9,35,-0.527,-0.15,-0.72,-0.1196,-0.1859,-1.98,-0.73,-2.29,-0.89,8981,-0.24,-0.51,-2.67,-3.92,-0.87,0.45,-0.71,-0.40,-0.57,-1.1,-0.5,-0.6,-0.6,-0.2,-0.8,-1.2,5.6,5.6,6.0,0.001974,-0.78243,-0.75762,-0.30946,-0.04608,-0.01600,-0.16,-1.51,0.33
ND,-3.1,31,-0.534,-0.12,-0.30,0.07582,0.0192,-1.33,-0.30,-1.68,-0.47,6075,0.02,-0.27,-2.21,-2.50,-0.51,-0.12,-0.12,0.28,-0.53,-0.6,0.4,0.0,0.0,0.8,0.2,-0.6,5.3,5.2,5.0,0.007855,-0.41830,-0.36779,-0.15017,-0.01565,-0.00825,0.09,-1.17,0.61
DD,-2.7,24,0.539,0.60,0.04,0.08769,0.0840,-0.96,0.04,-1.21,-0.08,2951,0.29,-0.09,-1.85,-2.47,-0.07,-0.65,0.27,-0.24,0.89,0.3,0.9,0.6,0.2,1.8,0.6,-0.2,5.4,5.5,5.0,-0.000531,0.06704,-0.21301,-0.17210,-0.01488,-0.00786,0.53,-0.07,1.15
AC,-4.2,15,0.159,-0.30,0.00,0.00069,-0.1085,-3.38,0.00,-3.57,0.02,4306,-0.33,0.01,-3.93,-3.99,0.00,-0.12,-0.26,-0.48,-0.96,0.1,0.6,0.6,0.0,-0.3,-0.2,-0.5,5.0,5.3,5.1,-0.000751,0.23079,-0.04411,0.04917,0.01382,0.00180,-2.04,-3.40,-0.74
RC,-5.3,13,0.174,-0.40,0.24,0.1005,0.0544,-2.70,0.24,-2.57,0.56,1120,0.08,0.32,-3.02,-4.41,-0.12,0.17,0.32,0.80,-0.25,0.4,0.7,0.2,-0.6,-0.7,-0.6,-0.6,5.9,5.6,6.1,-0.006062,0.49103,0.21192,0.10341,-0.02161,0.01195,-0.54,-0.78,-0.25
NC,-4.9,21,0.105,-0.32,0.13,0.00943,-0.0844,-2.59,0.13,-2.59,0.35,1549,-0.01,0.21,-3.14,-1.76,1.46,-0.30,0.28,-1.89,0.18,0.3,0.6,0.5,-0.5,0.2,0.3,-0.1,5.7,5.7,5.2,0.006139,0.32481,0.05061,0.02032,0.00085,0.00797,-0.95,-1.72,-0.07
DC,-4.2,10,-0.137,0.55,0.03,0.01585,0.1169,-2.66,0.03,-2.41,0.45,1584,0.12,0.25,-3.12,-3.56,0.06,-0.49,0.38,-0.32,-0.50,0.3,0.8,0.5,-0.3,0.6,0.3,0.2,5.2,5.4,5.1,0.002278,0.53024,0.16627,0.08274,0.05671,0.01489,-1.04,-1.34,-0.12
CC,-7.1,48,-0.524,-1.79,-1.06,-0.18164,-1.0442,-5.44,-1.06,-5.44,-0.85,5003,-1.19,-0.55,-4.54,-7.23,-2.38,0.00,-1.34,-2.94,-2.11,-3.3,-1.3,-1.7,-2.4,-2.3,-1.7,-1.6,4.4,4.3,4.2,-0.002544,-1.79243,-0.35421,-0.17110,-0.03752,-0.10838,-2.81,-3.74,-2.42
AQ,-3.5,34,-0.008,-0.11,0.08,0.02297,-0.0457,-1.70,0.07,-1.89,0.13,5037,0.22,0.09,-2.67,-3.65,0.08,-0.16,0.21,-0.14,0.16,0.0,0.6,0.6,0.4,0.6,0.4,0.2,5.0,5.4,5.3,0.005029,0.26575,0.08891,0.07189,0.02023,0.00343,0.00,-1.17,0.70
RQ,-4.5,29,0.222,0.62,-0.52,-0.1314,0.0059,-1.85,-0.52,-1.80,-0.24,3062,0.09,-0.14,-2.25,-4.13,-0.11,0.24,-0.12,0.50,1.24,-0.5,0.2,0.0,-0.2,0.2,-0.4,-1.0,6.1,6.0,6.4,-0.001210,-0.25307,-0.10846,-0.13486,-0.02214,-0.00609,0.41,-0.68,0.94
NQ,-3.8,30,-0.187,-0.05,-0.25,0.04386,-0.0050,-1.36,-0.25,-1.71,-0.34,3368,0.06,-0.19,-2.26,-3.00,-0.05,0.08,-0.05,0.87,0.57,-0.4,0.2,0.0,-0.2,0.8,0.3,-0.3,5.3,5.9,5.9,0.004502,-0.26143,-0.29003,-0.11794,-0.02505,-0.00689,0.20,-0.74,0.87
DQ,-3.2,17,-0.128,0.46,-0.17,-0.08755,-0.0728,-1.26,-0.18,-1.46,-0.17,3550,0.24,-0.10,-2.09,-3.15,0.21,-0.01,0.12,-0.26,0.78,0.0,0.6,0.2,0.0,1.2,0.6,-0.3,5.3,5.5,5.5,-0.001466,-0.00061,-0.22107,-0.12196,-0.00434,-0.00644,0.15,-0.71,0.96
CQ,-5.0,13,0.487,-0.49,0.05,0.03575,0.0715,-2.73,0.04,-2.85,0.17,1375,-0.07,0.10,-3.31,-4.37,0.21,0.23,0.04,-0.84,-0.54,0.1,0.3,0.2,-0.7,0.1,0.3,0.0,5.5,5.4,6.1,0.001387,0.25200,0.06070,0.02698,0.02667,0.00991,-0.41,-1.97,-0.05
QQ,-3.4,7,-0.430,-0.08,0.29,0.0197,-0.0550,-0.89,0.27,-1.54,-0.09,1253,0.20,-0.10,-1.94,-4.71,-0.38,-0.29,0.14,0.73,0.41,0.0,0.3,0.0,-0.5,0.8,0.6,-0.3,5.8,5.4,6.1,0.008438,-0.24068,-0.25399,-0.09693,-0.06601,-0.00745,0.59,-0.10,1.22
AE,-3.0,27,0.182,0.03,0.26,0.09398,0.1346,-1.51,0.25,-1.51,0.30,5933,0.38,0.19,-2.45,-2.69,0.20,-0.39,0.43,0.29,-0.02,0.5,1.2,1.1,1.0,1.0,0.8,0.4,5.2,5.0,4.8,-0.002376,0.26471,0.15220,0.10110,0.02897,0.00406,0.29,-0.77,1.32
RE,-4.2,34,-0.717,-0.26,-0.74,-0.1873,-0.3511,-2.07,-0.75,-2.27,-0.92,8570,-0.22,-0.51,-2.61,-4.05,-0.87,0.37,-0.75,-0.91,-0.70,-0.9,-0.4,-0.5,-0.5,-0.1,-0.7,-1.4,5.7,5.9,6.1,-0.004586,-0.78607,-0.73107,-0.28982,-0.05432,-0.01522,-0.11,-1.24,0.54
NE,-3.4,27,-0.262,-0.25,-0.32,-0.00720,0.1146,-1.43,-0.33,-1.51,-0.35,4550,0.12,-0.19,-2.14,-2.43,-0.30,-0.01,-0.01,0.78,-0.19,-0.4,0.5,0.3,0.2,1.2,0.6,-0.2,5.3,5.6,5.0,-0.003154,-0.18010,-0.29050,-0.09284,-0.01793,-0.00681,0.52,-0.67,1.09
DE,-3.3,38,-0.178,0.68,-0.15,-0.00952,0.1581,-1.23,-0.16,-1.02,0.06,4001,0.44,0.04,-1.77,-2.35,0.17,-0.35,0.40,0.18,0.83,0.3,0.9,0.7,0.5,2.1,1.1,0.1,5.5,5.9,5.0,0.002194,0.24572,-0.05421,-0.14442,-0.00697,-0.00727,1.32,-0.18,1.48
CE,-4.4,9,0.121,0.04,0.69,0.02004,0.1550,-2.08,0.68,-2.27,0.54,1189,0.20,0.31,-2.97,-3.02,0.72,-0.14,0.46,0.16,0.65,0.8,0.9,0.8,-0.2,0.7,0.8,0.6,5.7,5.1,5.7,0.002791,0.66360,0.46641,0.12837,0.03232,0.01832,-0.38,-0.83,0.20
QE,-3.6,19,-0.728,0.62,-0.17,-0.0372,-0.0413,-1.33,-0.18,-1.42,-0.18,3096,0.27,-0.09,-1.93,-3.45,0.03,-0.05,0.10,0.48,0.28,0.2,0.8,0.2,0.1,1.6,0.7,-0.2,5.4,5.7,6.5,-0.005234,-0.05835,-0.22637,-0.10631,-0.02655,-0.00728,0.47,-0.47,1.11
EE,-2.8,9,1.060,0.21,-0.03,0.0865,0.1259,-1.18,-0.04,-0.91,0.12,1884,0.46,0.04,-1.60,-2.85,-0.20,-0.67,0.45,1.03,1.59,0.6,1.2,1.0,0.5,2.3,1.2,0.2,6.1,6.1,5.7,0.006456,0.51101,-0.06802,-0.17005,-0.08009,-0.00947,1.24,0.72,2.18
AG,-3.8,115,0.282,-0.09,-0.07,0.00253,0.1844,-2.15,-0.07,-2.31,-0.10,17079,-0.08,-0.04,-2.91,-2.24,0.08,-0.29,-0.03,0.43,0.23,0.1,1.2,1.4,1.2,0.1,0.4,0.3,4.6,4.7,4.5,-0.003111,-0.01467,-0.05662,0.02605,0.03371,0.00106,-1.74,-2.84,0.11
RG,-4.5,58,-0.037,-0.15,-0.04,0.0711,-0.0251,-1.68,-0.04,-1.72,0.03,5656,0.09,0.03,-2.43,-2.71,-0.10,0.01,0.14,0.12,0.84,0.5,0.2,0.3,0.2,0.7,0.4,0.3,6.7,6.3,6.7,0.002466,-0.08319,-0.11493,-0.05025,0.00933,-0.00194,-0.11,-1.25,0.65
NG,-4.0,80,-0.097,-0.18,-0.14,-0.03475,0.1196,-1.56,-0.14,-1.74,-0.18,7319,-0.01,-0.09,-2.41,-1.63,-0.09,-0.18,0.10,0.46,0.12,-0.1,0.7,0.6,0.4,0.3,0.2,0.1,5.1,5.6,5.3,-0.001649,-0.37069,-0.20722,-0.02792,-0.00528,-0.00340,-0.62,-1.69,0.79
DG,-3.7,83,-0.336,-0.06,-0.22,-0.06461,0.1115,-1.62,-0.23,-1.59,-0.11,8632,0.11,-0.06,-2.34,-1.84,0.11,-0.24,0.17,-0.55,0.37,-0.4,0.8,0.8,0.7,0.5,0.5,0.2,4.5,4.7,6.1,0.001528,-0.22435,-0.13454,-0.01798,-0.02100,-0.00242,-0.67,-1.64,0.75
CG,-5.4,53,-0.187,-0.42,-0.08,-0.01841,-0.0982,-3.16,-0.08,-3.16,0.05,4168,-0.31,0.03,-3.68,-3.43,-0.26,0.11,-0.09,0.14,-0.74,0.1,1.3,0.9,0.1,-0.4,-0.3,-0.2,5.5,5.3,5.2,0.001847,0.20423,-0.15618,-0.06868,-0.02424,-0.00362,-2.35,-3.17,-0.56
QG,-4.4,75,-0.072,0.12,-0.06,0.0200,0.1710,-1.54,-0.07,-1.66,-0.02,4918,0.13,0.00,-2.39,-3.02,-0.11,0.05,0.20,-0.08,-0.36,-0.1,0.8,0.8,0.5,0.6,0.5,0.2,5.1,5.9,7.2,-0.000425,-0.01890,-0.16506,-0.02051,-0.02658,-0.00242,-0.01,-1.60,0.73
EG,-3.8,54,-0.041,0.40,0.25,0.0860,0.2311,-1.22,0.24,-1.22,0.21,5248,0.32,0.13,-2.12,-1.58,0.50,-0.37,0.48,0.88,0.48,0.6,1.1,1.1,0.9,1.0,0.9,0.4,4.5,5.6,5.3,-0.000113,0.14922,-0.01456,0.04571,0.03380,0.00092,0.37,-1.07,1.16
GG,-3.9,75,-0.068,0.04,-0.38,-0.1748,0.2219,-2.17,-0.39,-2.24,-0.41,10881,-0.29,-0.25,-2.62,-1.77,-0.27,-0.39,-0.20,-0.30,0.01,0.3,1.5,1.7,1.1,0.1,0.1,0.1,3.9,4.5,4.5,0.000990,-0.48115,-0.14051,-0.08089,-0.02023,-0.00526,-1.68,-2.60,0.35
AH,-4.0,25,-0.079,-0.15,0.34,0.00916,0.0266,-2.09,0.34,-2.41,0.17,3600,0.07,0.11,-2.95,-3.29,0.01,0.04,0.21,0.66,0.29,-0.1,0.4,0.5,0.2,0.4,0.5,0.0,5.2,5.2,5.3,-0.002432,0.32413,0.02143,0.06456,0.01652,0.00321,-0.48,-1.69,0.35
RH,-4.9,17,0.111,-0.01,-0.12,-0.0218,-0.0184,-2.12,-0.13,-2.16,-0.04,1883,0.05,-0.01,-2.60,-3.24,0.35,0.10,0.04,-0.62,0.36,-0.4,-0.1,-0.1,-0.4,0.0,-0.4,-0.9,5.7,5.9,5.5,0.009985,-0.10894,0.02841,-0.02235,0.02289,0.00007,0.34,-0.94,0.47
NH,-4.4,25,-0.141,0.06,-0.24,-0.00094,0.0386,-2.01,-0.24,-2.08,-0.15,2053,0.00,-0.08,-2.60,-3.05,-0.52,-0.14,0.10,0.95,-0.06,-0.5,0.2,0.0,-0.4,-0.2,-0.5,-0.8,5.4,5.5,5.5,0.008099,-0.00420,-0.22095,-0.07118,-0.02616,-0.00362,0.10,-0.67,0.91
DH,-4.3,32,-0.270,-0.06,-0.39,-0.03380,-0.0749,-2.14,-0.40,-2.32,-0.47,3603,-0.10,-0.27,-2.70,-2.93,0.00,0.06,-0.22,0.63,-0.07,-1.0,-0.1,-0.2,-0.4,-0.3,-0.6,-1.0,5.2,5.8,5.5,-0.002501,-0.47402,-0.51082,-0.12234,0.01351,-0.00685,-0.09,-1.44,0.29
CH,-5.6,11,-0.187,-0.82,-0.19,-0.03699,-0.0701,-3.63,-0.20,-3.60,-0.02,1209,-0.36,-0.02,-3.87,-4.79,-0.64,0.00,-0.19,-2.34,-0.66,-1.2,0.1,-0.2,-1.4,-1.2,-1.1,-1.3,5.4,5.9,6.0,0.054553,0.24383,-0.08947,-0.05122,-0.06586,-0.00424,-1.21,-2.31,-0.83
QH,-4.7,17,0.247,0.05,-0.02,0.0522,-0.0125,-1.85,-0.03,-1.98,0.03,1332,0.15,0.02,-2.48,-4.20,-0.31,0.01,0.22,0.83,-0.60,0.9,0.1,-0.1,-0.5,-0.1,-0.2,-0.9,5.2,6.2,6.8,0.005803,-0.03046,-0.13022,-0.07235,-0.00106,-0.00218,0.43,-1.04,0.83
EH,-4.5,24,0.072,-0.53,-0.45,-0.1188,-0.0827,-2.27,-0.46,-2.15,-0.35,2800,0.00,-0.19,-2.49,-3.15,-0.10,0.14,-0.11,-0.17,1.27,-0.9,0.1,-0.1,-0.3,0.0,-0.4,-1.0,5.5,5.7,5.8,-0.007232,-0.10674,-0.38576,-0.08473,0.01615,-0.00352,-0.09,-1.17,0.74
GH,-4.7,40,0.127,0.00,0.20,0.0876,0.0979,-1.94,0.19,-2.15,0.05,3425,0.00,0.04,-2.77,-2.47,0.01,0.08,0.23,0.19,0.42,0.3,0.7,0.7,0.3,0.5,0.4,0.3,4.5,5.4,5.3,-0.000951,0.08603,-0.17065,-0.00788,-0.08543,-0.00394,-0.42,-2.08,0.53
HH,-4.9,8,0.392,0.14,-0.29,-0.02649,0.0005,-2.78,-0.30,-3.05,-0.48,1224,-0.40,-0.36,-3.27,-3.08,0.38,0.03,-0.33,-3.30,-2.26,-1.4,-0.8,-0.6,-1.2,-0.9,-1.0,-1.5,5.3,6.0,6.2,0.001314,-0.23317,-0.55055,-0.36006,-0.11699,-0.02024,-0.40,-1.69,0.28
AI,-5.9,119,-0.535,-0.64,-0.22,-0.10044,-0.0737,-4.41,-0.22,-4.58,-0.14,16465,-0.37,-0.07,-4.18,-4.45,-0.08,-0.10,-0.35,-0.79,-0.85,-0.6,-0.6,-0.3,-0.3,-0.4,-0.1,-0.4,5.2,5.5,5.5,-0.002119,-0.22176,-0.03193,-0.10028,-0.04417,-0.00746,-2.09,-3.27,-0.45
RI,-6.2,33,-0.014,-0.08,0.42,0.0338,-0.0266,-3.33,0.42,-3.63,0.35,4065,0.00,0.20,-3.42,-4.29,0.37,0.10,0.18,0.31,-0.22,0.4,-0.2,-0.2,-0.2,-0.4,-0.2,-0.6,5.9,6.1,6.2,0.001034,0.33584,0.34774,0.19111,0.06128,0.01401,-0.77,-1.41,0.05
NI,-5.8,51,0.456,0.39,0.53,0.04248,0.1485,-2.99,0.54,-3.24,0.55,3331,0.14,0.32,-3.13,-3.42,0.16,-0.05,0.55,0.48,0.22,0.7,0.5,0.4,0.2,0.7,0.7,0.2,5.3,5.7,5.3,0.002317,0.38282,0.49079,0.16954,0.02517,0.01338,-0.84,-1.41,0.40
DI,-5.4,43,0.229,0.04,0.59,0.01813,0.1892,-2.91,0.59,-3.17,0.54,4318,0.22,0.31,-3.09,-3.46,0.54,-0.24,0.54,0.19,-0.18,0.6,0.5,0.6,0.5,0.9,0.9,0.4,5.7,5.6,6.0,0.002659,0.44972,0.64069,0.17048,0.00868,0.01451,-0.65,-1.28,0.47
CI,-7.3,33,-0.415,-0.48,0.16,-0.00256,-0.2235,-5.03,0.16,-5.50,-0.06,3830,-0.64,-0.04,-4.90,-5.53,-0.30,0.00,-0.48,-0.26,-1.02,-1.1,-0.5,-0.5,-0.8,-0.2,-0.2,-0.8,5.2,5.5,5.9,0.002965,0.12534,0.08276,0.00854,0.04323,-0.00508,-2.99,-3.73,-1.27
